year,index,date,N1,N2,N3,N4,N5,N6,S1,color,zodiac,EvO,BS
2006,1,2006-01-03,25,17,38,26,23,24,47,blue,rat,odd,big
2006,2,2006-01-05,10,22,46,44,5,38,13,red,dog,odd,small
2006,3,2006-01-08,38,26,28,42,10,1,43,green,dragon,odd,big
2006,4,2006-01-10,38,39,21,25,36,5,4,blue,goat,even,small
2006,5,2006-01-12,15,37,36,24,27,25,35,red,rat,odd,big
2006,6,2006-01-14,19,34,1,12,29,32,46,red,ox,even,big
2006,7,2006-01-17,13,47,11,25,29,38,12,red,pig,even,small
2006,8,2006-01-19,28,24,26,44,31,47,17,green,horse,odd,small
2006,9,2006-01-21,20,1,7,45,40,34,22,green,ox,even,small
2006,10,2006-01-24,28,35,6,33,31,14,26,blue,rooster,even,big
2006,11,2006-01-26,18,22,27,28,43,23,35,red,rat,odd,big
2006,12,2006-01-28,41,27,30,16,22,39,40,red,goat,even,big
2006,13,2006-01-30,21,48,35,9,33,22,43,green,dragon,odd,big
2006,14,2006-02-02,37,20,4,23,5,3,38,green,rooster,even,big
2006,15,2006-02-04,41,39,40,34,45,19,23,red,rat,odd,small
2006,16,2006-02-07,5,40,41,24,15,12,44,green,rabbit,even,big
2006,17,2006-02-09,3,6,13,29,39,49,9,blue,tiger,odd,small
2006,18,2006-02-12,12,26,15,41,45,30,4,blue,goat,even,small
2006,19,2006-02-14,43,7,34,32,42,22,6,green,snake,even,small
2006,20,2006-02-16,34,22,3,16,12,29,30,red,snake,even,big
2006,21,2006-02-18,14,46,12,28,42,10,37,blue,dog,odd,big
2006,22,2006-02-21,31,36,24,7,49,15,40,red,goat,even,big
2006,23,2006-02-23,18,31,35,40,43,39,10,blue,ox,even,small
2006,24,2006-02-25,34,18,37,22,13,31,19,red,dragon,odd,small
2006,25,2006-02-28,40,23,10,25,27,14,37,blue,dog,odd,big
2006,26,2006-03-02,5,14,22,43,29,1,20,blue,rabbit,even,small
2006,27,2006-03-05,22,1,7,15,14,45,24,red,pig,even,small
2006,28,2006-03-07,30,49,11,42,48,2,36,blue,pig,even,big
2006,29,2006-03-09,40,20,30,9,19,39,10,blue,ox,even,small
2006,30,2006-03-11,1,14,19,30,21,13,40,red,goat,even,big
2006,31,2006-03-14,12,39,48,7,13,25,9,blue,tiger,odd,small
2006,32,2006-03-16,33,42,4,37,49,27,36,blue,pig,even,big
2006,33,2006-03-18,1,30,43,6,33,13,9,blue,tiger,odd,small
2006,34,2006-03-21,16,4,23,22,43,8,18,red,snake,even,small
2006,35,2006-03-23,26,7,20,3,18,32,10,blue,ox,even,small
2006,36,2006-03-25,36,43,42,32,45,26,44,green,rabbit,even,big
2006,37,2006-03-28,21,15,3,28,10,1,37,blue,dog,odd,big
2006,38,2006-03-30,2,12,33,19,17,30,23,red,rat,odd,small
2006,39,2006-04-02,12,29,39,8,25,45,44,green,rabbit,even,big
2006,40,2006-04-04,11,43,14,7,35,38,26,blue,rooster,even,big
2006,41,2006-04-07,29,35,11,10,16,30,28,green,goat,even,big
2006,42,2006-04-09,47,18,45,44,34,28,8,red,rabbit,even,small
2006,43,2006-04-11,41,5,26,21,30,36,17,green,horse,odd,small
2006,44,2006-04-13,32,13,28,39,49,44,48,blue,pig,even,big
2006,45,2006-04-16,22,20,29,38,11,9,37,blue,dog,odd,big
2006,46,2006-04-18,28,27,44,38,14,11,12,red,pig,even,small
2006,47,2006-04-20,2,16,9,12,37,40,19,red,dragon,odd,small
